CardCode,AccNum,FeeNum,MonDeal,DealerNum,DealTime,StaNum,OptNum,RecFlag,DealPeriodNo
289,10110,1,0,0,2018-09-29 10:51:13.070,1,1001,1,-1
289,10110,35,0,0,2018-09-29 10:51:32.207,1,1001,1,-1
291,10088,1,0,0,2018-09-29 10:54:30.273,1,1001,1,-1
291,10088,35,0,0,2018-09-29 10:54:50.410,1,1001,1,-1
293,10151,1,0,0,2018-09-29 10:57:50.027,1,1001,1,-1
294,10138,1,0,0,2018-09-29 11:01:52.197,1,1001,1,-1
294,10138,35,0,0,2018-09-29 11:02:27.410,1,1001,1,-1
296,10551,1,0,0,2018-09-29 11:04:32.640,1,1001,1,-1
296,10551,35,0,0,2018-09-29 11:04:54.820,1,1001,1,-1
297,10551,35,0,0,2018-09-29 11:05:07.090,1,1001,1,-1
299,10133,1,0,0,2018-09-29 11:05:30.950,1,1001,1,-1
299,10133,35,0,0,2018-09-29 11:05:55.820,1,1001,1,-1
301,10139,1,0,0,2018-09-29 14:54:02.817,1,1001,1,-1
302,10141,1,0,0,2018-09-29 14:55:50.130,1,1001,1,-1
302,10141,35,0,0,2018-09-29 14:56:20.890,1,1001,1,-1
304,10231,1,0,0,2018-09-29 15:10:31.807,1,1001,1,-1
305,10232,1,0,0,2018-09-29 15:10:59.153,1,1001,1,-1
305,10232,35,0,0,2018-09-29 15:11:22.393,1,1001,1,-1
306,10232,35,0,0,2018-09-29 15:11:32.297,1,1001,1,-1
308,10552,1,0,0,2018-09-29 15:14:26.650,1,1001,1,-1
308,10552,35,0,0,2018-09-29 15:14:51.270,1,1001,1,-1
310,10405,1,0,0,2018-09-29 15:17:11.313,1,1001,1,-1
310,10405,35,0,0,2018-09-29 15:17:34.040,1,1001,1,-1
312,10327,1,0,0,2018-09-29 15:18:25.880,1,1001,1,-1
313,10027,1,0,0,2018-09-29 15:19:08.877,1,1001,1,-1
313,10027,35,0,0,2018-09-29 15:19:31.087,1,1001,1,-1
315,10409,1,0,0,2018-09-29 15:19:50.380,1,1001,1,-1
316,10503,1,0,0,2018-09-29 15:20:16.550,1,1001,1,-1
317,10393,1,0,0,2018-09-29 15:22:10.410,1,1001,1,-1
317,10393,35,0,0,2018-09-29 15:22:28.593,1,1001,1,-1
319,10326,1,0,0,2018-09-29 15:22:52.217,1,1001,1,-1
320,10331,1,0,0,2018-09-29 15:23:12.850,1,1001,1,-1
321,10334,1,0,0,2018-09-29 15:23:30.120,1,1001,1,-1
322,10325,1,0,0,2018-09-29 15:23:45.807,1,1001,1,-1
323,10471,1,0,0,2018-09-29 15:24:31.650,1,1001,1,-1
324,10402,1,0,0,2018-09-29 15:25:05.147,1,1001,1,-1
324,10402,35,0,0,2018-09-29 15:25:22.937,1,1001,1,-1
325,10402,35,0,0,2018-09-29 15:25:34.010,1,1001,1,-1
327,10403,1,0,0,2018-09-29 15:26:21.610,1,1001,1,-1
327,10403,35,0,0,2018-09-29 15:26:38.053,1,1001,1,-1
328,10403,35,0,0,2018-09-29 15:26:47.300,1,1001,1,-1
330,10387,1,0,0,2018-09-29 15:28:09.860,1,1001,1,-1
330,10387,35,0,0,2018-09-29 15:28:30.580,1,1001,1,-1
332,10391,1,0,0,2018-09-29 15:29:05.563,1,1001,1,-1
332,10391,35,0,0,2018-09-29 15:29:26.570,1,1001,1,-1
334,10337,1,0,0,2018-09-29 15:29:57.483,1,1001,1,-1
335,10392,1,0,0,2018-09-29 15:30:16.940,1,1001,1,-1
336,10388,1,0,0,2018-09-29 15:30:51.903,1,1001,1,-1
337,10407,1,0,0,2018-09-29 15:31:53.547,1,1001,1,-1
338,10312,1,0,0,2018-09-29 15:32:11.353,1,1001,1,-1
338,10312,35,0,0,2018-09-29 15:32:30.427,1,1001,1,-1
340,10474,1,0,0,2018-09-29 15:32:58.383,1,1001,1,-1
