sn_num,name,remark_pictures_text,unit_id
1007168,外科住院部一楼左一,"http://cdn-app.diandingding.com/upload/18662995918/c11bdec2-094e-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/c11becbe-094e-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/c11bf2cc-094e-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/c11bfaa6-094e-11e7-b33b-00163e012235",96
1007170,CT室左一,"http://cdn-app.diandingding.com/upload/18662995918/07b8cb86-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/07b8dc98-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/07b8d6ee-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0c548aae-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0c549710-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0c54912a-0956-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007171,内科住院部一楼二排左一1,"http://cdn-app.diandingding.com/upload/18662995918/ee40f978-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ee410684-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/f9da327c-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/f9da2b56-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/f9da2106-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ff977ed6-0949-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007172,输液大厅左二,"http://cdn-app.diandingding.com/upload/18662995918/6b1f088a-094b-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6b1f02b8-094b-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6b1f0dbc-094b-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6b1ef8f4-094b-11e7-b33b-00163e012235",96
1007173,内科住院部二楼二排左一,"http://cdn-app.diandingding.com/upload/18662995918/0a1fce3c-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0a1fb834-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0a1fc18a-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0a1fdc56-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0a1fc798-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/0a1fd5d0-094d-11e7-b33b-00163e012235",96
1007175,内科住院部二楼二排左二,"http://cdn-app.diandingding.com/upload/18662995918/ea11890a-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ea119df0-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ea1198c8-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ea11930a-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ea11a41c-094c-11e7-b33b-00163e012235",96
1007177,针灸室门口,"http://cdn-app.diandingding.com/upload/18662995918/a5a4c538-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/a5a4d118-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/a5a4d712-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/af6f2392-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/af6f11e0-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/af6f1848-0952-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007179,内科住院部一楼三排左一1,"http://cdn-app.diandingding.com/upload/18662995918/58452624-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6484363c-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/64843d62-0949-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007180,内科住院部一楼三排左一,"http://cdn-app.diandingding.com/upload/18662995918/850d0a5a-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/850cff88-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/8cb3d6c6-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/8cb3e602-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/8cb3e080-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/93d3ac88-0949-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007181,外科住院部二楼左二,"http://cdn-app.diandingding.com/upload/18662995918/5952aac6-0950-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/5952a058-0950-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/5952b156-0950-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/5952b688-0950-11e7-b33b-00163e012235",96
1007182,西药房,"http://cdn-app.diandingding.com/upload/18662995918/7ad339e4-0951-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/7ad32986-0951-11e7-b33b-00163e012235",96
1007183,CT室左二,"http://cdn-app.diandingding.com/upload/18662995918/1aa287c8-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/1aa28cf0-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/1aa281a6-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/1aa277c4-0956-11e7-b33b-00163e012235",96
1007184,生化室,"http://cdn-app.diandingding.com/upload/18662995918/42619f52-0955-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/426192c8-0955-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/42618706-0955-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/42619962-0955-11e7-b33b-00163e012235",96
1007185,输液大厅左一,"http://cdn-app.diandingding.com/upload/18662995918/47f9a4dc-094b-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/47f99780-094b-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/47f99d70-094b-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/47f98dbc-094b-11e7-b33b-00163e012235",96
